docid	diff	firstpub	author	title
mdp.39015008871231_0	0.139623189558	1936	Halldór Laxness	Salka Valka : | a novel of Iceland / | $f: translated by F.H. Lyon.
uc1.$b660183_1	-0.0630534369075	1939	Brophy, John	Gentleman of Stratford; | a novel | $c: by John Brophy.
uc1.$b802703	-0.289792404969	1933	Claudy, C. H. (Carl Harry)	The land of no shadow, | $c: by Carl H. Claudy. Illustrated by A.C. Valentine.
mdp.39015053577113_0	-0.538675175281	1917	Mitchell, John Ames	Drowsy.
uc2.ark+=13960=t6445k297_1	0.0798735456567	1910	Dehan, Richard	One braver thing
uc2.ark+=13960=t2794143s_1	0.67531760248	1917	Burroughs, Edgar Rice	A princess of Mars
uc1.32106005794125_1	0.431724284987	1923	Wells, H. G	28 science fiction stories.
mdp.49015001024521_1	-0.381364679402	1934	Weinbaum, Stanley Grauman	A Martian Odyssey and other science fiction tales; | $c: the collected short stories of Stanley G. Weinbaum. Introd. by Sam Moskowitz.
nyp.33433076026040	-0.474026966568	1922	Smith, Gordon Arthur	There goes the groom
mdp.39015008724810_1	-0.0630405803084	1914	Locke, George Herbert	Worlds apart; | an anthology in facsimile.
uc2.ark+=13960=t3416tb8r	0.283001911547	1920	Wickham, Harvey	Jungle terror
mdp.39015012210152_1	-0.328422895542	1933	Hilton, James	Was it murder?
mdp.39015005099240_0	-0.0890013326864	1914	Verne, Jules	The Barsac mission. | $c: Translated from the French by I. O. Evans.
uc2.ark+=13960=t3610xt8m_1	-0.32727665945	1912	Mackellar, Dorothea	The little blue devil
mdp.39015031326088_0	-0.662661338934	1910	Hyne, Charles John Cutcliffe Wright	Empire of the world.
uc1.$b105438_1	0.48158004518	1939	Sherriff, R. C. (Robert Cedric)	The Hopkins manuscript, | $c: by R. C. Sherriff.
pst.000029583676_0	1.20123346243	1931	Burroughs, Edgar Rice	The land of hidden men.
uc1.b4373265_1	1.282310504	1913	Burroughs, Edgar Rice	The return of Tarzan
uc2.ark+=13960=t84j0cc9k_0	-1.29309837841	1916	England, George Allan	The golden blight
inu.32000005497468_1	-0.456528525743	1927	Hilton, James	Terry, | $c: by James Hilton.
uc2.ark+=13960=t3610xt8m_0	-0.339923859343	1912	Mackellar, Dorothea	The little blue devil
uc1.b3160554_1	0.916766068249	1912	Moorcock, Michael	Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1
nyp.33433076068612_0	-0.0958629277629	1921	Grey, Zane	To the last man;
uc2.ark+=13960=t6rx94103	-0.151336203295	1910	Hall, Eliza Calvert	Sally Ann's experience
uc2.ark+=13960=t7tm75f4v_0	0.47559666688	1920	Heidenstam, Verner von	The Charles men
uc2.ark+=13960=t8mc8t512_2	-0.213417662369	1921	Lydston, G. Frank	Trusty five-fifteen
nyp.33433076075534_0	0.0787517243341	1922	MacConnell, Sarah Warder	One
uc1.b3116725	0.225348141855	1930	Williamson, Henry	The patriot's progress, | being the vicissitudes of Pte. John Bullock | $c: related by Henry Williamson and drawn by William Kermode.
uc1.b4089000_1	-0.146734609467	1938	Sinclair, Upton	Little steel | $c: [by] Upton Sinclair.
uc1.$b85973_0	-0.243399756663	1926	Beresford, J. D	Almost pagan, | $c: by J.D. Beresford ...
