docid	htid	totaltokens	skipped_pages	path
dul1.ark+=13960=t50g4f66g_1	dul1.ark+=13960=t50g4f66g	72831	0	../data/dul1.ark+=13960=t50g4f66g_1.tsv
dul1.ark+=13960=t50g4f66g_2	dul1.ark+=13960=t50g4f66g	70967	0	../data/dul1.ark+=13960=t50g4f66g_2.tsv
nyp.33433076053762	nyp.33433076053762	45174	0	../data/nyp.33433076053762.tsv
uva.x030832557_0	uva.x030832557	40095	0	../data/uva.x030832557_0.tsv
uva.x030832557_1	uva.x030832557	36923	0	../data/uva.x030832557_1.tsv
njp.32101063580268_0	njp.32101063580268	56727	0	../data/njp.32101063580268_0.tsv
njp.32101063580268_1	njp.32101063580268	58506	0	../data/njp.32101063580268_1.tsv
uc2.ark+=13960=t3fx74b36_0	uc2.ark+=13960=t3fx74b36	67789	0	../data/uc2.ark+=13960=t3fx74b36_0.tsv
uc2.ark+=13960=t3fx74b36_1	uc2.ark+=13960=t3fx74b36	66678	0	../data/uc2.ark+=13960=t3fx74b36_1.tsv
dul1.ark+=13960=t3jw91q2r_0	dul1.ark+=13960=t3jw91q2r	38469	0	../data/dul1.ark+=13960=t3jw91q2r_0.tsv
dul1.ark+=13960=t3jw91q2r_1	dul1.ark+=13960=t3jw91q2r	39459	0	../data/dul1.ark+=13960=t3jw91q2r_1.tsv
dul1.ark+=13960=t1fj34z1f_0	dul1.ark+=13960=t1fj34z1f	29804	0	../data/dul1.ark+=13960=t1fj34z1f_0.tsv
dul1.ark+=13960=t1fj34z1f_1	dul1.ark+=13960=t1fj34z1f	31317	0	../data/dul1.ark+=13960=t1fj34z1f_1.tsv
nyp.33433074915269_0	nyp.33433074915269	35390	0	../data/nyp.33433074915269_0.tsv
nyp.33433074915269_1	nyp.33433074915269	37755	0	../data/nyp.33433074915269_1.tsv
nyp.33433075833354_0	nyp.33433075833354	63585	0	../data/nyp.33433075833354_0.tsv
nyp.33433075833354_1	nyp.33433075833354	65337	0	../data/nyp.33433075833354_1.tsv
nyp.33433076073786_0	nyp.33433076073786	39439	0	../data/nyp.33433076073786_0.tsv
nyp.33433076073786_1	nyp.33433076073786	41953	0	../data/nyp.33433076073786_1.tsv
mdp.39015015233953_0	mdp.39015015233953	38291	0	../data/mdp.39015015233953_0.tsv
mdp.39015015233953_1	mdp.39015015233953	38730	0	../data/mdp.39015015233953_1.tsv
