docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
mdp.39015063552254,mdp.39015063552254,33527,random,"Gregg, Mary (Kirby)",,"London;Griffith and Farran, successors to Newbery and Harris;New York;E. P. Dutton and co.;1880",1880,1880,,,,The discontented children and how they were cured
uc1.b4678991_0,uc1.b4678991,181828,random,"Hardy, Thomas,",,London;Isbister;1880.,1880,1880,,,,The trumpet major
uc1.b4678991_1,uc1.b4678991,181092,random,"Hardy, Thomas,",,London;Isbister;1880.,1880,1880,,,,The trumpet major
uc1.b4678991_2,uc1.b4678991,186356,random,"Hardy, Thomas,",,London;Isbister;1880.,1880,1880,,,,The trumpet major
uc1.b4678991_3,uc1.b4678991,185159,random,"Hardy, Thomas,",,London;Isbister;1880.,1880,1880,,,,The trumpet major
uiuo.ark+=13960=t97664r47_0,uiuo.ark+=13960=t97664r47,31702,random,Queen.,,London;Hurst and Blackett;1880.,1880,1880,v.2,,,A Sylvan queen
uiuo.ark+=13960=t97664r47_1,uiuo.ark+=13960=t97664r47,30701,random,Queen.,,London;Hurst and Blackett;1880.,1880,1880,v.2,,,A Sylvan queen
uc2.ark+=13960=t9q23t734,uc2.ark+=13960=t9q23t734,58466,random,"Grant, James,",,London;Bentley;1881.,1881,1881,v.003,,,The Cameronians
mdp.39015066052757_0,mdp.39015066052757,45388,random,"Gilchrist, Anne Burrows,",,Boston;Roberts Brothers;1883.,1883,1883,,"1764-1847;Lamb, Mary",,Mary Lamb
mdp.39015066052757_1,mdp.39015066052757,47355,random,"Gilchrist, Anne Burrows,",,Boston;Roberts Brothers;1883.,1883,1883,,"1764-1847;Lamb, Mary",,Mary Lamb
uc2.ark+=13960=t4jm29r88_0,uc2.ark+=13960=t4jm29r88,40308,random,"Oliphant,",,London;Hurst and Blackett;1883,1883,1883,v.2,,,It was a lover and his lass
uc2.ark+=13960=t4jm29r88_1,uc2.ark+=13960=t4jm29r88,40679,random,"Oliphant,",,London;Hurst and Blackett;1883,1883,1883,v.2,,,It was a lover and his lass
njp.32101067647360_0,njp.32101067647360,33047,random,"Warden, Florence,",,London;R. Bentley;1884.,1884,1884,v.3,,,The white witch
njp.32101067647360_1,njp.32101067647360,32272,random,"Warden, Florence,",,London;R. Bentley;1884.,1884,1884,v.3,,,The white witch
njp.32101063877326_0,njp.32101063877326,34164,random,Moira.,,London;Remington;1884.,1884,1884,v. 1,,,Philip Graham
njp.32101063877326_1,njp.32101063877326,33475,random,Moira.,,London;Remington;1884.,1884,1884,v. 1,,,Philip Graham
uiuo.ark+=13960=t06w9ms37,uiuo.ark+=13960=t06w9ms37,37242,random,"Bird, Frederick Spencer.",,London;S. Tinsley;1879.,1885,1885,v.3,,,Stonedell Lodge
uiuo.ark+=13960=t4wh2zx6g,uiuo.ark+=13960=t4wh2zx6g,55015,random,"Hake, Thomas St. E.",,London;Hurst and Blackett;1886.,1886,1886,v.2,,,In letters of gold
uc1.b601407_0,uc1.b601407,32532,random,"Korolenko, Vladimir Galaktionovich,",,New York;T. Y. Crowell & co.;c1887,1887,1887,,,,The vagrant and other tales
